[+] Started: Wed Jun 24 14:58:12 UTC 2026
[+] Run ID: 28079427477
[+] Batch: batch-0019
[+] URL count: 75
[0:00:05] | Templates: 6749 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 0 | Requests: 320/1118775 (0%)
[0:00:10] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 0 | Requests: 580/1118775 (0%)
[0:00:15] | Templates: 6749 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 0 | Requests: 840/1118775 (0%)
[0:00:20] | Templates: 6749 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 0 | Requests: 1102/1118775 (0%)
[0:00:25] | Templates: 6749 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 0 | Requests: 1370/1118775 (0%)
[0:00:30] | Templates: 6749 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 0 | Requests: 1785/1118775 (0%)
[0:00:35] | Templates: 6749 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 0 | Requests: 2043/1118775 (0%)
[0:00:40] | Templates: 6749 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 0 | Requests: 2339/1118775 (0%)
[0:00:45] | Templates: 6749 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 0 | Requests: 2599/1118775 (0%)
[0:00:50] | Templates: 6749 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 0 | Requests: 2871/1118775 (0%)
[0:00:55] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 0 | Requests: 3128/1118775 (0%)
[0:01:00] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 0 | Requests: 3423/1118775 (0%)
[0:01:05] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 0 | Requests: 3676/1118775 (0%)
[0:01:10] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 0 | Requests: 3951/1118775 (0%)
[0:01:15] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 0 | Requests: 4229/1118775 (0%)
[0:01:20] | Templates: 6749 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 0 | Requests: 4404/1118775 (0%)
[0:01:25] | Templates: 6749 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 0 | Requests: 4721/1118775 (0%)
[0:01:30] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 0 | Requests: 5121/1118775 (0%)
[0:01:35] | Templates: 6749 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 0 | Requests: 5508/1118775 (0%)
[0:01:40] | Templates: 6749 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 0 | Requests: 5901/1118775 (0%)
[0:01:45] | Templates: 6749 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 0 | Requests: 6318/1118775 (0%)
[0:01:50] | Templates: 6749 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 0 | Requests: 6710/1118775 (0%)
[0:01:55] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 7278/1118775 (0%)
[0:02:00] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 7605/1118775 (0%)
[0:02:05] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 7894/1118775 (0%)
[0:02:10] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 8184/1118775 (0%)
[0:02:15] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 8516/1118775 (0%)
[0:02:20] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 8818/1118775 (0%)
[0:02:25] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 9130/1118775 (0%)
[0:02:30] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 9443/1118775 (0%)
[0:02:35] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 9756/1118775 (0%)
[0:02:40] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 10128/1118775 (0%)
[0:02:45] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 10326/1118775 (0%)
[0:02:50] | Templates: 6749 | Hosts: 75 | RPS: 61 | Matched: 0 | Errors: 0 | Requests: 10526/1118775 (0%)
[0:02:55] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 10947/1118775 (0%)
[0:03:00] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 11294/1118775 (1%)
[0:03:05] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 11622/1118775 (1%)
[0:03:10] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 11952/1118775 (1%)
[0:03:15] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 12288/1118775 (1%)
[0:03:20] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 12602/1118775 (1%)
[0:03:25] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 12940/1118775 (1%)
[0:03:30] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 13283/1118775 (1%)
[0:03:35] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 13555/1118775 (1%)
[0:03:40] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 13847/1118775 (1%)
[0:03:45] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 14129/1118775 (1%)
[0:03:50] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 14489/1118775 (1%)
[0:03:55] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 14876/1118775 (1%)
[0:04:00] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 15252/1118775 (1%)
[0:04:05] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 15619/1118775 (1%)
[0:04:10] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 15992/1118775 (1%)
[0:04:15] | Templates: 6749 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 0 | Requests: 16402/1118775 (1%)
[0:04:20] | Templates: 6749 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 0 | Requests: 16829/1118775 (1%)
[0:04:25] | Templates: 6749 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 0 | Requests: 17260/1118775 (1%)
[0:04:30] | Templates: 6749 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 0 | Requests: 17696/1118775 (1%)
[0:04:35] | Templates: 6749 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 0 | Requests: 18119/1118775 (1%)
[0:04:40] | Templates: 6749 | Hosts: 75 | RPS: 66 | Matched: 0 | Errors: 0 | Requests: 18549/1118775 (1%)
[0:04:45] | Templates: 6749 | Hosts: 75 | RPS: 66 | Matched: 0 | Errors: 0 | Requests: 19002/1118775 (1%)
[0:04:50] | Templates: 6749 | Hosts: 75 | RPS: 67 | Matched: 0 | Errors: 0 | Requests: 19449/1118775 (1%)
[0:04:55] | Templates: 6749 | Hosts: 75 | RPS: 67 | Matched: 0 | Errors: 0 | Requests: 19858/1118775 (1%)
[0:05:00] | Templates: 6749 | Hosts: 75 | RPS: 67 | Matched: 0 | Errors: 0 | Requests: 20288/1118775 (1%)
[0:05:05] | Templates: 6749 | Hosts: 75 | RPS: 67 | Matched: 0 | Errors: 0 | Requests: 20732/1118775 (1%)
[0:05:10] | Templates: 6749 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 0 | Requests: 21182/1118775 (1%)
[0:05:15] | Templates: 6749 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 0 | Requests: 21644/1118775 (1%)
[0:05:20] | Templates: 6749 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 0 | Requests: 22103/1118775 (1%)
[0:05:25] | Templates: 6749 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 0 | Requests: 22450/1118775 (2%)
[0:05:30] | Templates: 6749 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 0 | Requests: 22804/1118775 (2%)
[0:05:35] | Templates: 6749 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 0 | Requests: 23160/1118775 (2%)
[0:05:40] | Templates: 6749 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 0 | Requests: 23531/1118775 (2%)
[0:05:45] | Templates: 6749 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 2 | Requests: 23825/1118775 (2%)
[0:05:50] | Templates: 6749 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 2 | Requests: 24151/1118775 (2%)
[0:05:55] | Templates: 6749 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 2 | Requests: 24465/1118775 (2%)
[0:06:00] | Templates: 6749 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 2 | Requests: 24800/1118775 (2%)
[0:06:05] | Templates: 6749 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 2 | Requests: 25126/1118775 (2%)
[0:06:10] | Templates: 6749 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 2 | Requests: 25446/1118775 (2%)
[0:06:15] | Templates: 6749 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 2 | Requests: 25779/1118775 (2%)
[0:06:20] | Templates: 6749 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 2 | Requests: 26110/1118775 (2%)
[0:06:25] | Templates: 6749 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 2 | Requests: 26586/1118775 (2%)
