[+] Started: Thu Jun 25 11:43:24 UTC 2026
[+] Run ID: 28127761157
[+] Batch: batch-0020
[+] URL count: 4
[0:00:05] | Templates: 6749 | Hosts: 4 | RPS: 84 | Matched: 0 | Errors: 0 | Requests: 444/59668 (0%)
[0:00:10] | Templates: 6749 | Hosts: 4 | RPS: 70 | Matched: 0 | Errors: 0 | Requests: 722/59668 (1%)
[0:00:15] | Templates: 6749 | Hosts: 4 | RPS: 70 | Matched: 0 | Errors: 0 | Requests: 1077/59668 (1%)
[0:00:20] | Templates: 6749 | Hosts: 4 | RPS: 71 | Matched: 0 | Errors: 0 | Requests: 1444/59668 (2%)
[0:00:25] | Templates: 6749 | Hosts: 4 | RPS: 78 | Matched: 0 | Errors: 0 | Requests: 1970/59668 (3%)
[0:00:30] | Templates: 6749 | Hosts: 4 | RPS: 74 | Matched: 0 | Errors: 0 | Requests: 2264/59668 (3%)
[0:00:35] | Templates: 6749 | Hosts: 4 | RPS: 77 | Matched: 0 | Errors: 0 | Requests: 2722/59668 (4%)
[0:00:40] | Templates: 6749 | Hosts: 4 | RPS: 74 | Matched: 0 | Errors: 0 | Requests: 2992/59668 (5%)
[0:00:45] | Templates: 6749 | Hosts: 4 | RPS: 90 | Matched: 0 | Errors: 0 | Requests: 4117/59668 (6%)
[0:00:50] | Templates: 6749 | Hosts: 4 | RPS: 89 | Matched: 0 | Errors: 2 | Requests: 4510/59668 (7%)
[0:00:55] | Templates: 6749 | Hosts: 4 | RPS: 87 | Matched: 0 | Errors: 6 | Requests: 4817/59668 (8%)
[0:01:00] | Templates: 6749 | Hosts: 4 | RPS: 86 | Matched: 0 | Errors: 6 | Requests: 5210/59668 (8%)
[0:01:05] | Templates: 6749 | Hosts: 4 | RPS: 83 | Matched: 0 | Errors: 6 | Requests: 5433/59668 (9%)
[0:01:10] | Templates: 6749 | Hosts: 4 | RPS: 81 | Matched: 0 | Errors: 6 | Requests: 5757/59668 (9%)
[0:01:15] | Templates: 6749 | Hosts: 4 | RPS: 81 | Matched: 0 | Errors: 6 | Requests: 6104/59668 (10%)
[0:01:20] | Templates: 6749 | Hosts: 4 | RPS: 79 | Matched: 0 | Errors: 6 | Requests: 6408/59668 (10%)
[0:01:25] | Templates: 6749 | Hosts: 4 | RPS: 79 | Matched: 0 | Errors: 6 | Requests: 6750/59668 (11%)
[0:01:30] | Templates: 6749 | Hosts: 4 | RPS: 80 | Matched: 0 | Errors: 10 | Requests: 7241/59668 (12%)
[0:01:35] | Templates: 6749 | Hosts: 4 | RPS: 78 | Matched: 0 | Errors: 10 | Requests: 7507/59668 (12%)
[0:01:40] | Templates: 6749 | Hosts: 4 | RPS: 78 | Matched: 0 | Errors: 10 | Requests: 7846/59668 (13%)
[0:01:45] | Templates: 6749 | Hosts: 4 | RPS: 77 | Matched: 0 | Errors: 10 | Requests: 8158/59668 (13%)
[0:01:50] | Templates: 6749 | Hosts: 4 | RPS: 76 | Matched: 0 | Errors: 10 | Requests: 8485/59668 (14%)
[0:01:55] | Templates: 6749 | Hosts: 4 | RPS: 76 | Matched: 0 | Errors: 14 | Requests: 8869/59668 (14%)
[0:02:00] | Templates: 6749 | Hosts: 4 | RPS: 76 | Matched: 0 | Errors: 14 | Requests: 9228/59668 (15%)
[0:02:05] | Templates: 6749 | Hosts: 4 | RPS: 76 | Matched: 0 | Errors: 14 | Requests: 9565/59668 (16%)
[0:02:10] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 18 | Requests: 9855/59668 (16%)
[0:02:15] | Templates: 6749 | Hosts: 4 | RPS: 76 | Matched: 0 | Errors: 18 | Requests: 10293/59668 (17%)
[0:02:20] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 18 | Requests: 10627/59668 (17%)
[0:02:25] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 18 | Requests: 10955/59668 (18%)
[0:02:30] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 18 | Requests: 11366/59668 (19%)
[0:02:35] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 18 | Requests: 11750/59668 (19%)
[0:02:40] | Templates: 6749 | Hosts: 4 | RPS: 76 | Matched: 0 | Errors: 18 | Requests: 12191/59668 (20%)
[0:02:45] | Templates: 6749 | Hosts: 4 | RPS: 76 | Matched: 0 | Errors: 18 | Requests: 12712/59668 (21%)
[0:02:50] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 12862/59668 (21%)
[0:02:55] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 13257/59668 (22%)
[0:03:00] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 13630/59668 (22%)
[0:03:05] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 13943/59668 (23%)
[0:03:10] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 14323/59668 (24%)
[0:03:15] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 14654/59668 (24%)
[0:03:20] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 15049/59668 (25%)
[0:03:25] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 15445/59668 (25%)
[0:03:30] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 15919/59668 (26%)
[0:03:35] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 16279/59668 (27%)
[0:03:40] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 16647/59668 (27%)
[0:03:45] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 17045/59668 (28%)
[0:03:50] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 20 | Requests: 17368/59668 (29%)
[0:03:55] | Templates: 6749 | Hosts: 4 | RPS: 76 | Matched: 0 | Errors: 20 | Requests: 17964/59668 (30%)
[0:04:00] | Templates: 6749 | Hosts: 4 | RPS: 76 | Matched: 0 | Errors: 21 | Requests: 18301/59668 (30%)
[0:04:05] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 59 | Requests: 18617/59668 (31%)
[0:04:10] | Templates: 6749 | Hosts: 4 | RPS: 75 | Matched: 0 | Errors: 109 | Requests: 18874/59668 (31%)
[0:04:15] | Templates: 6749 | Hosts: 4 | RPS: 74 | Matched: 0 | Errors: 160 | Requests: 19062/59668 (31%)
[0:04:20] | Templates: 6749 | Hosts: 4 | RPS: 73 | Matched: 0 | Errors: 196 | Requests: 19191/59668 (32%)
[0:04:25] | Templates: 6749 | Hosts: 4 | RPS: 72 | Matched: 0 | Errors: 227 | Requests: 19361/59668 (32%)
[0:04:30] | Templates: 6749 | Hosts: 4 | RPS: 72 | Matched: 0 | Errors: 256 | Requests: 19610/59668 (32%)
[0:04:35] | Templates: 6749 | Hosts: 4 | RPS: 72 | Matched: 0 | Errors: 288 | Requests: 19985/59668 (33%)
