[CVE-2019-11248] [http] [high] https://api.dev.dappier.com/debug/pprof/
[CVE-2026-21858] [http] [critical] https://n8n.dappier.com/signin ["n8n Version: 1.120.4"]
[CVE-2026-21877] [http] [critical] https://n8n.dappier.com/signin ["n8n Version: 1.120.4"]
[apache-mod-negotiation-listing:exposed_files] [http] [low] https://pietra.com/index ["index.php"] [path="/index"]
[debug-vars] [http] [low] https://api.dev.dappier.com/debug/vars
[expired-ssl] [ssl] [low] calling-dev.ringg.ai:443 ["2025-12-16 20:31:25 +0000 UTC"]
[expired-ssl] [ssl] [low] staging.blogs.ringg.ai:443 ["2026-02-09 17:02:54 +0000 UTC"]
[go-pprof-debug] [http] [low] https://api.dev.dappier.com/debug/pprof/heap?debug=1
[grafana-metrics-exposure:version] [http] [low] https://logs.dappier.com/metrics ["11.4.0"]
[odoo-database-manager] [http] [low] https://odoo.sandbox.duvo.ai/web/database/manager
[prometheus-metrics] [http] [medium] https://api.dev.duvo.ai/metrics
[prometheus-metrics] [http] [medium] https://mcp.dev.duvo.ai/metrics
[prometheus-metrics] [http] [medium] https://n8n.dappier.com/metrics
[prometheus-metrics] [http] [medium] https://platform.dev.duvo.ai/metrics
[ssh-diffie-hellman-logjam] [javascript] [low] mail.pietra.com:22
[ssh-diffie-hellman-logjam] [javascript] [low] pietra.com:22
[ssh-weakkey-exchange-algo] [javascript] [low] mail.pietra.com:22
[ssh-weakkey-exchange-algo] [javascript] [low] pietra.com:22
[weak-cipher-suites:tls-1.0] [ssl] [low] ai.dappier.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] ai.dev.dappier.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] ai.staging.dappier.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] aktechcrunch.dappier.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] aktestdomain3.dev2.dappier.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] analytics-agent.dappier.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] android-api.earnos.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] api.dappier.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] api.dev.dappier.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] api.dev.duvo.ai:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] api.earnos.com:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
