[+] Started: Tue Jul  7 04:21:07 UTC 2026
[+] Run ID: 28817550165
[+] Batch: batch-0005
[+] URL count: 13
[0:00:05] | Templates: 6749 | Hosts: 13 | RPS: 89 | Matched: 0 | Errors: 0 | Requests: 471/193921 (0%)
[0:00:10] | Templates: 6749 | Hosts: 13 | RPS: 69 | Matched: 0 | Errors: 0 | Requests: 714/193921 (0%)
[0:00:15] | Templates: 6749 | Hosts: 13 | RPS: 58 | Matched: 0 | Errors: 0 | Requests: 896/193921 (0%)
[0:00:20] | Templates: 6749 | Hosts: 13 | RPS: 75 | Matched: 0 | Errors: 0 | Requests: 1522/193921 (0%)
[0:00:25] | Templates: 6749 | Hosts: 13 | RPS: 70 | Matched: 0 | Errors: 0 | Requests: 1790/193921 (0%)
[0:00:30] | Templates: 6749 | Hosts: 13 | RPS: 63 | Matched: 0 | Errors: 0 | Requests: 1920/193921 (0%)
[0:00:35] | Templates: 6749 | Hosts: 13 | RPS: 66 | Matched: 0 | Errors: 0 | Requests: 2332/193921 (1%)
[0:00:40] | Templates: 6749 | Hosts: 13 | RPS: 64 | Matched: 0 | Errors: 0 | Requests: 2606/193921 (1%)
[0:00:45] | Templates: 6749 | Hosts: 13 | RPS: 66 | Matched: 0 | Errors: 0 | Requests: 2989/193921 (1%)
[0:00:50] | Templates: 6749 | Hosts: 13 | RPS: 68 | Matched: 0 | Errors: 0 | Requests: 3445/193921 (1%)
[0:00:55] | Templates: 6749 | Hosts: 13 | RPS: 70 | Matched: 0 | Errors: 0 | Requests: 3890/193921 (2%)
[0:01:00] | Templates: 6749 | Hosts: 13 | RPS: 69 | Matched: 0 | Errors: 0 | Requests: 4194/193921 (2%)
[0:01:05] | Templates: 6749 | Hosts: 13 | RPS: 69 | Matched: 0 | Errors: 0 | Requests: 4528/193921 (2%)
[0:01:10] | Templates: 6749 | Hosts: 13 | RPS: 71 | Matched: 0 | Errors: 0 | Requests: 5057/193921 (2%)
[0:01:15] | Templates: 6749 | Hosts: 13 | RPS: 76 | Matched: 0 | Errors: 0 | Requests: 5761/193921 (2%)
[0:01:20] | Templates: 6749 | Hosts: 13 | RPS: 77 | Matched: 0 | Errors: 0 | Requests: 6207/193921 (3%)
[0:01:25] | Templates: 6749 | Hosts: 13 | RPS: 76 | Matched: 0 | Errors: 0 | Requests: 6516/193921 (3%)
[0:01:30] | Templates: 6749 | Hosts: 13 | RPS: 75 | Matched: 0 | Errors: 0 | Requests: 6848/193921 (3%)
