https://app.staging.baseten.co [302] [/signup?next=/] [0] [gunicorn] [44.240.42.110] [245.665313ms] [Python,gunicorn]
https://aws-us-west-2-ft8.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [167.584186ms] [HSTS]
https://aws-us-west-2-3ed.api.baseten.co [302] [/signup?next=/] [0] [] [44.224.185.220] [262.365011ms] [HSTS]
https://aws-us-west-2-54n.api.staging.baseten.co [302] [/signup?next=/] [0] [] [52.24.187.201] [296.251778ms] [HSTS]
https://cru-foo.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [52.89.177.78] [5.261946962s] [HSTS]
http://foo.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [52.89.177.78] [2.19414815s]
https://gcp-uscentral1.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [4.189245483s] [HSTS]
https://lbtest1.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [3.099967165s] [HSTS]
https://neb-foo.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [4.131482295s] [HSTS]
https://nlb-oke-us-phx-1-j7c.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [52.89.177.78] [3.149988745s] [HSTS]
https://test-killswitch.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [158.027398ms] [HSTS]
https://wildcard.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [3.150028944s] [HSTS]
