[+] Started: Tue Jul 14 07:50:47 UTC 2026
[+] Run ID: 29260272269
[+] Batch: batch-0012
[+] URL count: 75
[0:00:05] | Templates: 6749 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 0 | Requests: 307/1118775 (0%)
[0:00:10] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 22 | Requests: 577/1118775 (0%)
[0:00:15] | Templates: 6749 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 26 | Requests: 831/1118775 (0%)
[0:00:20] | Templates: 6749 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 44 | Requests: 1096/1118775 (0%)
[0:00:25] | Templates: 6749 | Hosts: 75 | RPS: 53 | Matched: 0 | Errors: 56 | Requests: 1363/1118775 (0%)
[0:00:30] | Templates: 6749 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 56 | Requests: 1642/1118775 (0%)
[0:00:35] | Templates: 6749 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 56 | Requests: 2041/1118775 (0%)
[0:00:40] | Templates: 6749 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 78 | Requests: 2336/1118775 (0%)
[0:00:45] | Templates: 6749 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 80 | Requests: 2607/1118775 (0%)
[0:00:50] | Templates: 6749 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 80 | Requests: 2889/1118775 (0%)
[0:00:55] | Templates: 6749 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 80 | Requests: 3167/1118775 (0%)
[0:01:00] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 80 | Requests: 3433/1118775 (0%)
[0:01:05] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 80 | Requests: 3706/1118775 (0%)
[0:01:10] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 80 | Requests: 3991/1118775 (0%)
[0:01:15] | Templates: 6749 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 80 | Requests: 4282/1118775 (0%)
[0:01:20] | Templates: 6749 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 82 | Requests: 4475/1118775 (0%)
[0:01:25] | Templates: 6749 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 86 | Requests: 4731/1118775 (0%)
[0:01:30] | Templates: 6749 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 98 | Requests: 5160/1118775 (0%)
[0:01:35] | Templates: 6749 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 106 | Requests: 5574/1118775 (0%)
[0:01:40] | Templates: 6749 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 108 | Requests: 5960/1118775 (0%)
[0:01:45] | Templates: 6749 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 110 | Requests: 6372/1118775 (0%)
[0:01:50] | Templates: 6749 | Hosts: 75 | RPS: 61 | Matched: 0 | Errors: 110 | Requests: 6820/1118775 (0%)
[0:01:55] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 112 | Requests: 7370/1118775 (0%)
[0:02:00] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 118 | Requests: 7693/1118775 (0%)
[0:02:05] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 132 | Requests: 8011/1118775 (0%)
[0:02:10] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 132 | Requests: 8318/1118775 (0%)
[0:02:15] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 132 | Requests: 8625/1118775 (0%)
[0:02:20] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 132 | Requests: 8929/1118775 (0%)
[0:02:25] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 132 | Requests: 9222/1118775 (0%)
[0:02:30] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 132 | Requests: 9518/1118775 (0%)
[0:02:35] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 132 | Requests: 9926/1118775 (0%)
[0:02:40] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 132 | Requests: 10207/1118775 (0%)
[0:02:45] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 132 | Requests: 10440/1118775 (0%)
[0:02:50] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 132 | Requests: 10624/1118775 (0%)
[0:02:55] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 136 | Requests: 10972/1118775 (0%)
[0:03:00] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 142 | Requests: 11306/1118775 (1%)
[0:03:05] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 146 | Requests: 11656/1118775 (1%)
[0:03:10] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 150 | Requests: 11960/1118775 (1%)
[0:03:15] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 150 | Requests: 12312/1118775 (1%)
[0:03:20] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 152 | Requests: 12657/1118775 (1%)
[0:03:25] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 152 | Requests: 12946/1118775 (1%)
[0:03:30] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 152 | Requests: 13253/1118775 (1%)
[0:03:35] | Templates: 6749 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 152 | Requests: 13557/1118775 (1%)
[0:03:40] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 152 | Requests: 13927/1118775 (1%)
[0:03:45] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 152 | Requests: 14197/1118775 (1%)
[0:03:50] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 156 | Requests: 14553/1118775 (1%)
[0:03:55] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 166 | Requests: 14954/1118775 (1%)
[0:04:00] | Templates: 6749 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 168 | Requests: 15338/1118775 (1%)
[0:04:05] | Templates: 6749 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 170 | Requests: 15718/1118775 (1%)
[0:04:10] | Templates: 6749 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 170 | Requests: 16101/1118775 (1%)
[0:04:15] | Templates: 6749 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 170 | Requests: 16503/1118775 (1%)
[0:04:20] | Templates: 6749 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 182 | Requests: 16923/1118775 (1%)
[0:04:25] | Templates: 6749 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 192 | Requests: 17348/1118775 (1%)
[0:04:30] | Templates: 6749 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 202 | Requests: 17778/1118775 (1%)
[0:04:35] | Templates: 6749 | Hosts: 75 | RPS: 66 | Matched: 0 | Errors: 202 | Requests: 18212/1118775 (1%)
[0:04:40] | Templates: 6749 | Hosts: 75 | RPS: 66 | Matched: 0 | Errors: 202 | Requests: 18642/1118775 (1%)
[0:04:45] | Templates: 6749 | Hosts: 75 | RPS: 66 | Matched: 0 | Errors: 204 | Requests: 19081/1118775 (1%)
[0:04:50] | Templates: 6749 | Hosts: 75 | RPS: 67 | Matched: 0 | Errors: 208 | Requests: 19528/1118775 (1%)
