https://alpha.xo.market [301] [https://beta.xo.market/] [167] [301 Moved Permanently] [cloudflare] [172.67.69.26] [cloudflare] [140.85795ms] [Cloudflare,HTTP/3]
https://book.wormhole.com [301] [https://wormhole.com/docs/] [665] [301 Moved Permanently] [cloudflare] [104.26.2.117] [cloudflare] [132.420813ms] [Cloudflare,Cloudflare Browser Insights,HSTS,HTTP/3]
https://alpha-admin.xo.market [301] [https://beta-admin.xo.market/] [167] [301 Moved Permanently] [cloudflare] [104.26.11.173] [cloudflare] [220.967452ms] [Cloudflare,HTTP/3]
https://documents.xdefi.io [301] [https://ctrl.xyz/xdefi-wallet-rebranding-to-ctrl/] [162] [301 Moved Permanently] [cloudflare] [104.18.40.47] [cloudflare] [816.027925ms] [Cloudflare,Cloudflare Bot Management,HTTP/3]
https://docs.xdefi.io [301] [https://ctrl.xyz/xdefi-wallet-rebranding-to-ctrl/] [162] [301 Moved Permanently] [cloudflare] [172.64.147.209] [cloudflare] [875.759377ms] [Cloudflare,Cloudflare Bot Management,HTTP/3]
https://sigma.wormhole.com [301] [https://wormhole.com/] [167] [301 Moved Permanently] [cloudflare] [172.67.69.176] [cloudflare] [209.057595ms] [Cloudflare,HSTS,HTTP/3]
https://community.xdefi.io [301] [https://ctrl.xyz/xdefi-wallet-rebranding-to-ctrl/] [162] [301 Moved Permanently] [cloudflare] [162.159.134.42] [cloudflare] [1.226901469s] [Cloudflare,Cloudflare Bot Management,HTTP/3]
http://www.sigma.wormhole.com [301] [https://www.sigma.wormhole.com/] [665] [301 Moved Permanently] [cloudflare] [104.26.2.117] [cloudflare] [57.93527ms] [Cloudflare,Cloudflare Browser Insights,HTTP/2]
https://xdefi.io [301] [https://ctrl.xyz/xdefi-wallet-rebranding-to-ctrl/] [162] [301 Moved Permanently] [cloudflare] [162.159.135.42] [cloudflare] [554.649235ms] [Cloudflare,Cloudflare Bot Management,HTTP/3]
https://www.xdefi.io [301] [https://ctrl.xyz/xdefi-wallet-rebranding-to-ctrl/] [162] [301 Moved Permanently] [cloudflare] [162.159.134.42] [cloudflare] [711.281295ms] [Cloudflare,Cloudflare Bot Management,HTTP/3]
http://cpcontacts.wormhole.com [301] [https://cpcontacts.wormhole.com/] [665] [301 Moved Permanently] [cloudflare] [172.67.69.176] [cloudflare] [35.033085ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
http://academy.wormhole.com [301] [https://academy.wormhole.com/] [665] [301 Moved Permanently] [cloudflare] [104.26.3.117] [cloudflare] [37.300442ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
http://autodiscover.wormhole.com [301] [https://autodiscover.wormhole.com/] [665] [301 Moved Permanently] [cloudflare] [104.26.2.117] [cloudflare] [40.55693ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
