[+] Started: Sun Jul 19 06:37:29 UTC 2026
[+] Run ID: 29671444668
[+] Batch: batch-0005
[+] URL count: 75
[0:00:05] | Templates: 6780 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 0 | Requests: 312/1125900 (0%)
[0:00:10] | Templates: 6780 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 0 | Requests: 557/1125900 (0%)
[0:00:15] | Templates: 6780 | Hosts: 75 | RPS: 52 | Matched: 0 | Errors: 0 | Requests: 800/1125900 (0%)
[0:00:20] | Templates: 6780 | Hosts: 75 | RPS: 52 | Matched: 0 | Errors: 0 | Requests: 1069/1125900 (0%)
[0:00:25] | Templates: 6780 | Hosts: 75 | RPS: 52 | Matched: 0 | Errors: 0 | Requests: 1334/1125900 (0%)
[0:00:30] | Templates: 6780 | Hosts: 75 | RPS: 53 | Matched: 0 | Errors: 2 | Requests: 1604/1125900 (0%)
[0:00:35] | Templates: 6780 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 2 | Requests: 2067/1125900 (0%)
[0:00:40] | Templates: 6780 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 2 | Requests: 2342/1125900 (0%)
[0:00:45] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 2 | Requests: 2593/1125900 (0%)
[0:00:50] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 2 | Requests: 2872/1125900 (0%)
[0:00:55] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 2 | Requests: 3160/1125900 (0%)
[0:01:00] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 4 | Requests: 3417/1125900 (0%)
[0:01:05] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 6 | Requests: 3689/1125900 (0%)
[0:01:10] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 6 | Requests: 3949/1125900 (0%)
[0:01:15] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 8 | Requests: 4289/1125900 (0%)
[0:01:20] | Templates: 6780 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 18 | Requests: 4470/1125900 (0%)
[0:01:25] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 18 | Requests: 4793/1125900 (0%)
[0:01:30] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 18 | Requests: 5164/1125900 (0%)
[0:01:35] | Templates: 6780 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 18 | Requests: 5542/1125900 (0%)
[0:01:40] | Templates: 6780 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 18 | Requests: 5935/1125900 (0%)
[0:01:45] | Templates: 6780 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 18 | Requests: 6397/1125900 (0%)
[0:01:50] | Templates: 6780 | Hosts: 75 | RPS: 61 | Matched: 0 | Errors: 26 | Requests: 6775/1125900 (0%)
[0:01:55] | Templates: 6780 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 34 | Requests: 7388/1125900 (0%)
[0:02:00] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 36 | Requests: 7696/1125900 (0%)
[0:02:05] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 36 | Requests: 7990/1125900 (0%)
[0:02:10] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 36 | Requests: 8260/1125900 (0%)
[0:02:15] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 36 | Requests: 8587/1125900 (0%)
[0:02:20] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 36 | Requests: 8873/1125900 (0%)
[0:02:25] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 42 | Requests: 9174/1125900 (0%)
[0:02:30] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 42 | Requests: 9484/1125900 (0%)
[0:02:35] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 48 | Requests: 9797/1125900 (0%)
[0:02:40] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 58 | Requests: 10190/1125900 (0%)
[0:02:45] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 62 | Requests: 10419/1125900 (0%)
[0:02:50] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 62 | Requests: 10586/1125900 (0%)
[0:02:55] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 62 | Requests: 11025/1125900 (0%)
[0:03:00] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 62 | Requests: 11308/1125900 (1%)
[0:03:05] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 62 | Requests: 11661/1125900 (1%)
[0:03:10] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 62 | Requests: 11977/1125900 (1%)
[0:03:15] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 62 | Requests: 12311/1125900 (1%)
[0:03:20] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 62 | Requests: 12621/1125900 (1%)
[0:03:25] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 62 | Requests: 12961/1125900 (1%)
[0:03:30] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 62 | Requests: 13320/1125900 (1%)
[0:03:35] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 70 | Requests: 13580/1125900 (1%)
[0:03:40] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 78 | Requests: 13886/1125900 (1%)
[0:03:45] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 88 | Requests: 14176/1125900 (1%)
[0:03:50] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 90 | Requests: 14558/1125900 (1%)
[0:03:55] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 90 | Requests: 14935/1125900 (1%)
[0:04:00] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 92 | Requests: 15330/1125900 (1%)
[0:04:05] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 96 | Requests: 15689/1125900 (1%)
[0:04:10] | Templates: 6780 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 102 | Requests: 16088/1125900 (1%)
[0:04:15] | Templates: 6780 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 110 | Requests: 16484/1125900 (1%)
[0:04:20] | Templates: 6780 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 110 | Requests: 16948/1125900 (1%)
[0:04:25] | Templates: 6780 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 110 | Requests: 17334/1125900 (1%)
[0:04:30] | Templates: 6780 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 110 | Requests: 17735/1125900 (1%)
[0:04:35] | Templates: 6780 | Hosts: 75 | RPS: 66 | Matched: 0 | Errors: 110 | Requests: 18176/1125900 (1%)
[0:04:40] | Templates: 6780 | Hosts: 75 | RPS: 66 | Matched: 0 | Errors: 112 | Requests: 18608/1125900 (1%)
[0:04:45] | Templates: 6780 | Hosts: 75 | RPS: 66 | Matched: 0 | Errors: 126 | Requests: 19070/1125900 (1%)
[0:04:50] | Templates: 6780 | Hosts: 75 | RPS: 67 | Matched: 0 | Errors: 136 | Requests: 19553/1125900 (1%)
[0:04:55] | Templates: 6780 | Hosts: 75 | RPS: 67 | Matched: 0 | Errors: 138 | Requests: 19965/1125900 (1%)
[0:05:00] | Templates: 6780 | Hosts: 75 | RPS: 67 | Matched: 0 | Errors: 142 | Requests: 20352/1125900 (1%)
[0:05:05] | Templates: 6780 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 148 | Requests: 20775/1125900 (1%)
[0:05:10] | Templates: 6780 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 148 | Requests: 21266/1125900 (1%)
[0:05:15] | Templates: 6780 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 160 | Requests: 21716/1125900 (1%)
[0:05:20] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 168 | Requests: 22128/1125900 (1%)
[0:05:25] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 168 | Requests: 22517/1125900 (1%)
[0:05:30] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 168 | Requests: 22885/1125900 (2%)
[0:05:35] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 170 | Requests: 23236/1125900 (2%)
[0:05:40] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 174 | Requests: 23613/1125900 (2%)
[0:05:45] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 178 | Requests: 23899/1125900 (2%)
[0:05:50] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 178 | Requests: 24240/1125900 (2%)
[0:05:55] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 178 | Requests: 24525/1125900 (2%)
[0:06:00] | Templates: 6780 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 178 | Requests: 24835/1125900 (2%)
[0:06:05] | Templates: 6780 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 178 | Requests: 25158/1125900 (2%)
[0:06:10] | Templates: 6780 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 180 | Requests: 25515/1125900 (2%)
[0:06:15] | Templates: 6780 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 186 | Requests: 25808/1125900 (2%)
[0:06:20] | Templates: 6780 | Hosts: 75 | RPS: 68 | Matched: 0 | Errors: 188 | Requests: 26188/1125900 (2%)
[0:06:25] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 188 | Requests: 26692/1125900 (2%)
[0:06:30] | Templates: 6780 | Hosts: 75 | RPS: 69 | Matched: 0 | Errors: 188 | Requests: 27190/1125900 (2%)
[0:06:35] | Templates: 6780 | Hosts: 75 | RPS: 70 | Matched: 0 | Errors: 188 | Requests: 27684/1125900 (2%)
[0:06:40] | Templates: 6780 | Hosts: 75 | RPS: 70 | Matched: 0 | Errors: 192 | Requests: 28221/1125900 (2%)
[0:06:45] | Templates: 6780 | Hosts: 75 | RPS: 71 | Matched: 0 | Errors: 194 | Requests: 28799/1125900 (2%)
