https://api-docs.edgex.exchange [404] [] [0] [cloudflare] [104.18.5.106] [cloudflare] [357.675847ms] [Cloudflare,HTTP/3]
https://edgex-prod-v2.edgex.exchange [404] [] [0] [cloudflare] [104.18.5.106] [cloudflare] [243.541141ms] [Cloudflare,HTTP/3]
https://edgex-quote-prod-v2.edgex.exchange [404] [] [89] [cloudflare] [104.18.4.106] [cloudflare] [342.382059ms] [Cloudflare,HTTP/3]
https://award.edgex.exchange [404] [] [89] [cloudflare] [104.18.5.106] [cloudflare] [646.126412ms] [Cloudflare,HTTP/3]
https://privy.edgex.exchange [404] [] [2] [cloudflare] [104.18.24.69] [cloudflare] [172.725944ms] [Cloudflare,Cloudflare Bot Management]
https://charge.edgex.exchange [404] [] [637] [Error] [cloudflare] [104.18.5.106] [cloudflare] [862.931153ms] [Cloudflare,Cloudflare Browser Insights,Express,HTTP/3,Node.js,Render]
https://rpc.edgex.exchange [404] [] [36] [cloudflare] [104.18.5.106] [cloudflare] [316.563759ms] [Cloudflare,HTTP/3]
https://spot-quote.edgex.exchange [404] [] [89] [cloudflare] [104.18.4.106] [cloudflare] [334.72504ms] [Cloudflare,HTTP/3]
https://spot.edgex.exchange [404] [] [0] [cloudflare] [104.18.4.106] [cloudflare] [260.457894ms] [Cloudflare,HTTP/3]
https://quote.edgex.exchange [404] [] [89] [] [18.172.170.4] [cloudfront] [737.115194ms] [Amazon CloudFront,Amazon Web Services]
https://s3-mobile.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.5.106] [cloudflare] [411.982313ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
https://s3-mobile-testnet.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.4.106] [cloudflare] [416.472119ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
https://s3-headless-privy.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.4.106] [cloudflare] [464.372066ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
https://s3-old.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.4.106] [cloudflare] [450.096256ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
https://s3-testcdn.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.4.106] [cloudflare] [458.696833ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
https://static.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.4.106] [cloudflare] [393.455795ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
https://static-test.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.4.106] [cloudflare] [512.85923ms] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
https://s3-testnet.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.4.106] [cloudflare] [1.233690707s] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
https://s3-new.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.5.106] [cloudflare] [1.253290456s] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
https://s3.edgex.exchange [404] [] [27648] [Not Found] [cloudflare] [104.18.5.106] [cloudflare] [1.224685491s] [Cloudflare,Cloudflare Browser Insights,HTTP/3]
