https://api.paragraph.xyz [308] [https://api.paragraph.com/] [169] [308 Permanent Redirect] [cloudflare] [104.26.0.14] [cloudflare] [230.83633ms] [Cloudflare]
https://cname.paragraph.xyz [308] [https://paragraph.com/] [169] [308 Permanent Redirect] [cloudflare] [104.26.0.14] [cloudflare] [130.792664ms] [Cloudflare]
https://omnilending.omnibtc.finance [308] [/lending] [15] [Vercel] [64.29.17.131] [3.341549665s] [HSTS,Vercel]
http://omnibtc.finance [308] [https://omnibtc.finance/] [14] [Vercel] [76.76.21.21] [2.650989529s] [Vercel]
http://paragraph-nextjs-13n0gt7pj.paragraph.xyz [308] [https://paragraph-nextjs-13n0gt7pj.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [1.383065415s] [Vercel]
http://paragraph-nextjs-1chp8xyxj.paragraph.xyz [308] [https://paragraph-nextjs-1chp8xyxj.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [2.38822933s] [Vercel]
http://paragraph-nextjs-1i1m21brc.paragraph.xyz [308] [https://paragraph-nextjs-1i1m21brc.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [4.382412873s] [Vercel]
http://paragraph-nextjs-475p77wzg.paragraph.xyz [308] [https://paragraph-nextjs-475p77wzg.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [1.357979332s] [Vercel]
http://paragraph-nextjs-5cisrp2a0.paragraph.xyz [308] [https://paragraph-nextjs-5cisrp2a0.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [1.416890682s] [Vercel]
http://paragraph-nextjs-4ko7w6euc.paragraph.xyz [308] [https://paragraph-nextjs-4ko7w6euc.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [3.368211505s] [Vercel]
http://paragraph-nextjs-5rws4kxsp.paragraph.xyz [308] [https://paragraph-nextjs-5rws4kxsp.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [5.392821202s] [Vercel]
http://paragraph-nextjs-6xxl2r9zd.paragraph.xyz [308] [https://paragraph-nextjs-6xxl2r9zd.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [3.422326578s] [Vercel]
http://paragraph-nextjs-8bv0qyna5.paragraph.xyz [308] [https://paragraph-nextjs-8bv0qyna5.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [3.371219937s] [Vercel]
http://paragraph-nextjs-9jts1ds3s.paragraph.xyz [308] [https://paragraph-nextjs-9jts1ds3s.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [2.386143439s] [Vercel]
http://paragraph-nextjs-bobglm5fj.paragraph.xyz [308] [https://paragraph-nextjs-bobglm5fj.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [3.381543788s] [Vercel]
http://paragraph-nextjs-ddhbwboj8.paragraph.xyz [308] [https://paragraph-nextjs-ddhbwboj8.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [2.466467435s] [Vercel]
http://paragraph-nextjs-c0898gi0m.paragraph.xyz [308] [https://paragraph-nextjs-c0898gi0m.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [6.387326973s] [Vercel]
http://paragraph-nextjs-elwwtbcst.paragraph.xyz [308] [https://paragraph-nextjs-elwwtbcst.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [2.38110958s] [Vercel]
http://paragraph-nextjs-clb70b7m8.paragraph.xyz [308] [https://paragraph-nextjs-clb70b7m8.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [5.40396208s] [Vercel]
http://paragraph-nextjs-git-bug-1803-search-bar-slow.paragraph.xyz [308] [https://paragraph-nextjs-git-bug-1803-search-bar-slow.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [4.566173029s] [Vercel]
http://paragraph-nextjs-git-bug-metrics-w3a.paragraph.xyz [308] [https://paragraph-nextjs-git-bug-metrics-w3a.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [2.563501267s] [Vercel]
