https://api.paragraph.xyz [308] [https://api.paragraph.com/] [169] [308 Permanent Redirect] [cloudflare] [104.26.0.14] [cloudflare] [168.746947ms] [Cloudflare]
https://cname.paragraph.xyz [308] [https://paragraph.com/] [169] [308 Permanent Redirect] [cloudflare] [104.26.1.14] [cloudflare] [149.84457ms] [Cloudflare]
https://bitquant.opengradient.ai [308] [https://www.bitquant.io/] [15] [Vercel] [66.33.60.67] [357.160321ms] [HSTS,Vercel]
http://paragraph-nextjs-1obnvdfo3.paragraph.xyz [308] [https://paragraph-nextjs-1obnvdfo3.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [306.373106ms] [Vercel]
http://paragraph-nextjs-2pmgwhlh3.paragraph.xyz [308] [https://paragraph-nextjs-2pmgwhlh3.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [307.403992ms] [Vercel]
http://paragraph-nextjs-4ifh1u72t.paragraph.xyz [308] [https://paragraph-nextjs-4ifh1u72t.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [303.464033ms] [Vercel]
http://paragraph-nextjs-6xxl2r9zd.paragraph.xyz [308] [https://paragraph-nextjs-6xxl2r9zd.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [298.369069ms] [Vercel]
http://paragraph-nextjs-8bv0qyna5.paragraph.xyz [308] [https://paragraph-nextjs-8bv0qyna5.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [325.321836ms] [Vercel]
http://paragraph-nextjs-9cpb7ltnp.paragraph.xyz [308] [https://paragraph-nextjs-9cpb7ltnp.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [326.404191ms] [Vercel]
http://paragraph-nextjs-a7imf56rf.paragraph.xyz [308] [https://paragraph-nextjs-a7imf56rf.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [304.719128ms] [Vercel]
http://paragraph-nextjs-bhr99rh52.paragraph.xyz [308] [https://paragraph-nextjs-bhr99rh52.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [304.66371ms] [Vercel]
http://paragraph-nextjs-cnem6986x.paragraph.xyz [308] [https://paragraph-nextjs-cnem6986x.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [297.946489ms] [Vercel]
http://paragraph-nextjs-erl36dury.paragraph.xyz [308] [https://paragraph-nextjs-erl36dury.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [306.038375ms] [Vercel]
http://paragraph-nextjs-fju34i47x.paragraph.xyz [308] [https://paragraph-nextjs-fju34i47x.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [318.063637ms] [Vercel]
http://paragraph-nextjs-git-feature-par-2976.paragraph.xyz [308] [https://paragraph-nextjs-git-feature-par-2976.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [366.045056ms] [Vercel]
http://paragraph-nextjs-git-feature-par-2857.paragraph.xyz [308] [https://paragraph-nextjs-git-feature-par-2857.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [378.003272ms] [Vercel]
http://paragraph-nextjs-git-feature-par-3043.paragraph.xyz [308] [https://paragraph-nextjs-git-feature-par-3043.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [370.709346ms] [Vercel]
http://paragraph-nextjs-git-feature-par-3000.paragraph.xyz [308] [https://paragraph-nextjs-git-feature-par-3000.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [379.934325ms] [Vercel]
http://paragraph-nextjs-git-feature-par-3046.paragraph.xyz [308] [https://paragraph-nextjs-git-feature-par-3046.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [395.1973ms] [Vercel]
http://paragraph-nextjs-git-feature-par-2899.paragraph.xyz [308] [https://paragraph-nextjs-git-feature-par-2899.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [400.816441ms] [Vercel]
http://paragraph-nextjs-git-feature-par-2907.paragraph.xyz [308] [https://paragraph-nextjs-git-feature-par-2907.paragraph.xyz/] [14] [Vercel] [64.239.123.193] [406.541555ms] [Vercel]
http://paragraph-nextjs-git-feature-par-3000-2.paragraph.xyz [308] [https://paragraph-nextjs-git-feature-par-3000-2.paragraph.xyz/] [14] [Vercel] [64.239.109.65] [444.486532ms] [Vercel]
