[+] Started: Sat Aug  1 09:02:34 UTC 2026
[+] Run ID: 30642013322
[+] Batch: batch-0005
[+] URL count: 75
[0:00:05] | Templates: 6780 | Hosts: 75 | RPS: 49 | Matched: 0 | Errors: 0 | Requests: 261/1125900 (0%)
[0:00:10] | Templates: 6780 | Hosts: 75 | RPS: 51 | Matched: 0 | Errors: 0 | Requests: 530/1125900 (0%)
[0:00:15] | Templates: 6780 | Hosts: 75 | RPS: 51 | Matched: 0 | Errors: 0 | Requests: 783/1125900 (0%)
[0:00:20] | Templates: 6780 | Hosts: 75 | RPS: 51 | Matched: 0 | Errors: 12 | Requests: 1052/1125900 (0%)
[0:00:25] | Templates: 6780 | Hosts: 75 | RPS: 51 | Matched: 0 | Errors: 12 | Requests: 1312/1125900 (0%)
[0:00:30] | Templates: 6780 | Hosts: 75 | RPS: 51 | Matched: 0 | Errors: 12 | Requests: 1570/1125900 (0%)
[0:00:35] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 12 | Requests: 2011/1125900 (0%)
[0:00:40] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 12 | Requests: 2297/1125900 (0%)
[0:00:45] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 12 | Requests: 2572/1125900 (0%)
[0:00:50] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 12 | Requests: 2843/1125900 (0%)
[0:00:55] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 12 | Requests: 3114/1125900 (0%)
[0:01:00] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 12 | Requests: 3389/1125900 (0%)
[0:01:05] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 12 | Requests: 3670/1125900 (0%)
[0:01:10] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 12 | Requests: 3963/1125900 (0%)
[0:01:15] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 12 | Requests: 4256/1125900 (0%)
[0:01:20] | Templates: 6780 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 12 | Requests: 4442/1125900 (0%)
[0:01:25] | Templates: 6780 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 12 | Requests: 4702/1125900 (0%)
[0:01:30] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 13 | Requests: 5121/1125900 (0%)
[0:01:35] | Templates: 6780 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 13 | Requests: 5533/1125900 (0%)
[0:01:40] | Templates: 6780 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 13 | Requests: 5947/1125900 (0%)
[0:01:45] | Templates: 6780 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 13 | Requests: 6374/1125900 (0%)
[0:01:50] | Templates: 6780 | Hosts: 75 | RPS: 61 | Matched: 0 | Errors: 13 | Requests: 6755/1125900 (0%)
[0:01:55] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 15 | Requests: 7337/1125900 (0%)
[0:02:00] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 15 | Requests: 7658/1125900 (0%)
[0:02:05] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 15 | Requests: 7962/1125900 (0%)
[0:02:10] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 15 | Requests: 8251/1125900 (0%)
[0:02:15] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 15 | Requests: 8565/1125900 (0%)
[0:02:20] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 15 | Requests: 8858/1125900 (0%)
[0:02:25] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 15 | Requests: 9161/1125900 (0%)
[0:02:30] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 15 | Requests: 9468/1125900 (0%)
[0:02:35] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 15 | Requests: 9762/1125900 (0%)
[0:02:40] | Templates: 6780 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 15 | Requests: 10172/1125900 (0%)
[0:02:45] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 15 | Requests: 10407/1125900 (0%)
[0:02:50] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 15 | Requests: 10565/1125900 (0%)
[0:02:55] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 15 | Requests: 10943/1125900 (0%)
[0:03:00] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 15 | Requests: 11272/1125900 (1%)
[0:03:05] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 15 | Requests: 11596/1125900 (1%)
[0:03:10] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 15 | Requests: 11943/1125900 (1%)
[0:03:15] | Templates: 6780 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 15 | Requests: 12270/1125900 (1%)
