https://70f70b14-043c-4b77-a108-441f8b9f30b5d-lnd-monitor.bevm.io [302] [/login] [29] [nginx] [18.224.20.211] [432.776263ms] [HSTS,Nginx]
https://app.staging.baseten.co [302] [/signup?next=/] [0] [gunicorn] [44.246.85.35] [264.975303ms] [Python,gunicorn]
https://aws-us-west-2-3ed.api.baseten.co [302] [/signup?next=/] [0] [] [44.224.185.220] [272.229346ms] [HSTS]
https://aws-us-west-2-ft8.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [52.89.177.78] [277.165841ms] [HSTS]
https://aws-us-west-2-54n.api.staging.baseten.co [302] [/signup?next=/] [0] [] [52.24.187.201] [317.113181ms] [HSTS]
https://cru-foo.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [447.682634ms] [HSTS]
https://cru-us-east1-wes.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [361.715787ms] [HSTS]
https://foo.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [266.100117ms] [HSTS]
https://gcp-uscentral1.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [424.902012ms] [HSTS]
https://grafana.staging.baseten.co [302] [/login] [29] [] [44.246.85.35] [1.259270874s]
https://lambda-hackathon.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [35.161.5.172] [296.401041ms] [HSTS]
https://lbtest1.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [52.89.177.78] [297.100793ms] [HSTS]
https://lbtest2.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [52.89.177.78] [332.598023ms] [HSTS]
https://neb-foo.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [52.89.177.78] [1.29185004s] [HSTS]
https://nlb-oke-us-phx-1-j7c.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [2.365644352s] [HSTS]
https://test-killswitch.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [267.449708ms] [HSTS]
https://wildcard.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [35.161.5.172] [277.709699ms] [HSTS]
https://wp-gcp-us-central1-dev-bf.api.mc-dev.baseten.co [302] [/signup?next=/] [0] [] [44.231.43.241] [287.120683ms] [HSTS]
