[+] Started: Thu Aug 20 07:32:03 UTC 2026
[+] Run ID: 32266537582
[+] Batch: batch-0011
[+] URL count: 75
WARNING: sonic/ast only supports (go1.17~1.26 and amd64 CPU) or (go1.20~1.26 and arm64 CPU), but your environment is not suitable and will fallback to encoding/json
[0:00:05] | Templates: 6831 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 4 | Requests: 308/1135575 (0%)
[0:00:10] | Templates: 6831 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 6 | Requests: 566/1135575 (0%)
[0:00:15] | Templates: 6831 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 24 | Requests: 824/1135575 (0%)
[0:00:20] | Templates: 6831 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 28 | Requests: 1094/1135575 (0%)
[0:00:25] | Templates: 6831 | Hosts: 75 | RPS: 53 | Matched: 0 | Errors: 34 | Requests: 1357/1135575 (0%)
[0:00:30] | Templates: 6831 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 40 | Requests: 1792/1135575 (0%)
[0:00:35] | Templates: 6831 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 42 | Requests: 2047/1135575 (0%)
[0:00:40] | Templates: 6831 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 42 | Requests: 2337/1135575 (0%)
[0:00:45] | Templates: 6831 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 50 | Requests: 2597/1135575 (0%)
[0:00:50] | Templates: 6831 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 65 | Requests: 2906/1135575 (0%)
[0:00:55] | Templates: 6831 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 67 | Requests: 3180/1135575 (0%)
[0:01:00] | Templates: 6831 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 67 | Requests: 3470/1135575 (0%)
[0:01:05] | Templates: 6831 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 69 | Requests: 3734/1135575 (0%)
[0:01:10] | Templates: 6831 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 69 | Requests: 4007/1135575 (0%)
[0:01:15] | Templates: 6831 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 69 | Requests: 4283/1135575 (0%)
[0:01:20] | Templates: 6831 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 69 | Requests: 4476/1135575 (0%)
[0:01:25] | Templates: 6831 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 69 | Requests: 4791/1135575 (0%)
[0:01:30] | Templates: 6831 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 71 | Requests: 5185/1135575 (0%)
[0:01:35] | Templates: 6831 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 91 | Requests: 5621/1135575 (0%)
[0:01:40] | Templates: 6831 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 98 | Requests: 6056/1135575 (0%)
[0:01:45] | Templates: 6831 | Hosts: 75 | RPS: 61 | Matched: 0 | Errors: 106 | Requests: 6454/1135575 (0%)
[0:01:50] | Templates: 6831 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 108 | Requests: 6854/1135575 (0%)
[0:01:55] | Templates: 6831 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 108 | Requests: 7398/1135575 (0%)
[0:02:00] | Templates: 6831 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 108 | Requests: 7723/1135575 (0%)
[0:02:05] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 116 | Requests: 7976/1135575 (0%)
[0:02:10] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 127 | Requests: 8315/1135575 (0%)
[0:02:15] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 130 | Requests: 8629/1135575 (0%)
[0:02:20] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 130 | Requests: 8887/1135575 (0%)
[0:02:25] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 137 | Requests: 9219/1135575 (0%)
[0:02:30] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 137 | Requests: 9531/1135575 (0%)
[0:02:35] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 137 | Requests: 9824/1135575 (0%)
[0:02:40] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 137 | Requests: 10108/1135575 (0%)
[0:02:45] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 137 | Requests: 10414/1135575 (0%)
[0:02:50] | Templates: 6831 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 137 | Requests: 10612/1135575 (0%)
[0:02:55] | Templates: 6831 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 137 | Requests: 11030/1135575 (0%)
[0:03:00] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 137 | Requests: 11375/1135575 (1%)
[0:03:05] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 145 | Requests: 11702/1135575 (1%)
[0:03:10] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 147 | Requests: 12050/1135575 (1%)
[0:03:15] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 153 | Requests: 12372/1135575 (1%)
[0:03:20] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 155 | Requests: 12711/1135575 (1%)
[0:03:25] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 155 | Requests: 13050/1135575 (1%)
[0:03:30] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 155 | Requests: 13361/1135575 (1%)
[0:03:35] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 155 | Requests: 13645/1135575 (1%)
[0:03:40] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 155 | Requests: 13947/1135575 (1%)
[0:03:45] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 155 | Requests: 14210/1135575 (1%)
[0:03:50] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 157 | Requests: 14593/1135575 (1%)
[0:03:55] | Templates: 6831 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 159 | Requests: 14970/1135575 (1%)
