[+] Started: Mon Aug 24 02:26:59 UTC 2026
[+] Run ID: 32634101948
[+] Batch: batch-0031
[+] URL count: 5
WARNING: sonic/ast only supports (go1.17~1.26 and amd64 CPU) or (go1.20~1.26 and arm64 CPU), but your environment is not suitable and will fallback to encoding/json
[0:00:05] | Templates: 6831 | Hosts: 5 | RPS: 62 | Matched: 0 | Errors: 0 | Requests: 327/75705 (0%)
[0:00:10] | Templates: 6831 | Hosts: 5 | RPS: 76 | Matched: 0 | Errors: 0 | Requests: 780/75705 (1%)
[0:00:15] | Templates: 6831 | Hosts: 5 | RPS: 66 | Matched: 0 | Errors: 0 | Requests: 1021/75705 (1%)
[0:00:20] | Templates: 6831 | Hosts: 5 | RPS: 71 | Matched: 0 | Errors: 0 | Requests: 1446/75705 (1%)
[0:00:25] | Templates: 6831 | Hosts: 5 | RPS: 71 | Matched: 0 | Errors: 0 | Requests: 1804/75705 (2%)
[0:00:30] | Templates: 6831 | Hosts: 5 | RPS: 79 | Matched: 0 | Errors: 0 | Requests: 2390/75705 (3%)
[0:00:35] | Templates: 6831 | Hosts: 5 | RPS: 76 | Matched: 0 | Errors: 0 | Requests: 2694/75705 (3%)
[0:00:40] | Templates: 6831 | Hosts: 5 | RPS: 76 | Matched: 0 | Errors: 0 | Requests: 3070/75705 (4%)
[0:00:45] | Templates: 6831 | Hosts: 5 | RPS: 75 | Matched: 0 | Errors: 0 | Requests: 3394/75705 (4%)
[0:00:50] | Templates: 6831 | Hosts: 5 | RPS: 75 | Matched: 0 | Errors: 0 | Requests: 3778/75705 (4%)
[0:00:55] | Templates: 6831 | Hosts: 5 | RPS: 92 | Matched: 0 | Errors: 0 | Requests: 5087/75705 (6%)
[0:01:00] | Templates: 6831 | Hosts: 5 | RPS: 89 | Matched: 0 | Errors: 0 | Requests: 5420/75705 (7%)
[0:01:05] | Templates: 6831 | Hosts: 5 | RPS: 89 | Matched: 0 | Errors: 10 | Requests: 5822/75705 (7%)
[0:01:10] | Templates: 6831 | Hosts: 5 | RPS: 87 | Matched: 0 | Errors: 10 | Requests: 6135/75705 (8%)
[0:01:15] | Templates: 6831 | Hosts: 5 | RPS: 87 | Matched: 0 | Errors: 10 | Requests: 6569/75705 (8%)
[0:01:20] | Templates: 6831 | Hosts: 5 | RPS: 83 | Matched: 0 | Errors: 10 | Requests: 6733/75705 (8%)
[0:01:25] | Templates: 6831 | Hosts: 5 | RPS: 82 | Matched: 0 | Errors: 10 | Requests: 7071/75705 (9%)
[0:01:30] | Templates: 6831 | Hosts: 5 | RPS: 82 | Matched: 0 | Errors: 10 | Requests: 7448/75705 (9%)
[0:01:35] | Templates: 6831 | Hosts: 5 | RPS: 81 | Matched: 0 | Errors: 10 | Requests: 7751/75705 (10%)
