[CVE-2025-46817:version] [javascript] [critical] admin-rn2-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46817:version] [javascript] [critical] api-rn2-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46817:version] [javascript] [critical] api-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46818:version] [javascript] [high] api-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46818:version] [javascript] [high] api-rn2-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46817:version] [javascript] [critical] grpc-staging.botanika.ai:6379 ["7.4.10"]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords="iamadmin"]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords="root"]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords=""]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords="password"]
[redis-default-logins] [javascript] [high] admin-rn2-staging.botanika.ai:6379 [DN="botanika",FQDN="admin-rn2-staging.botanika.ai",Host="admin-rn2-staging.botanika.ai",Hostname="admin-rn2-staging.botanika.ai:6379",Port="6379",RDN="botanika.ai",SD="admin-rn2-staging",TLD="ai",passwords="admin"]
[weak-cipher-suites:tls-1.0] [ssl] [low] 1212port.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] 1212port.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] apidoc.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] apidoc.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] app.saturn.credit:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] app.saturn.credit:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] api.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] archivexplorer.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] archivexplorer.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] bchat.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] bchat.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] belnet.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] belnet.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] binance.saturn.credit:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] binance.saturn.credit:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] api.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] bmart.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] bmart.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] bns.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] bns.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] bridge.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
