[CVE-2023-48795] [javascript] [medium] stun.call2.beldex.io:22 ["Vulnerable to Terrapin"]
[CVE-2023-48795] [javascript] [medium] stun.call3.beldex.io:22 ["Vulnerable to Terrapin"]
[CVE-2023-48795] [javascript] [medium] stun.test.beldex.io:22 ["Vulnerable to Terrapin"]
[CVE-2023-48795] [javascript] [medium] turn.call2.beldex.io:22 ["Vulnerable to Terrapin"]
[CVE-2023-48795] [javascript] [medium] turn.call3.beldex.io:22 ["Vulnerable to Terrapin"]
[CVE-2025-46817:version] [javascript] [critical] staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-46817:version] [javascript] [critical] storage-staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-49844:version] [javascript] [critical] staging.botanika.ai:6379 ["7.4.10"]
[CVE-2025-49844:version] [javascript] [critical] storage-staging.botanika.ai:6379 ["7.4.10"]
[weak-cipher-suites:tls-1.0] [ssl] [low] neosoul.ai:443 ["[tls10 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] neosoul.ai:443 ["[tls11 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] promotions.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] promotions.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] protocol.beldex.io:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] protocol.beldex.io:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] rpc.concrete.xyz:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] rpc.concrete.xyz:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.0] [ssl] [low] rpc.saturn.credit:443 ["[tls10 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
[weak-cipher-suites:tls-1.1] [ssl] [low] rpc.saturn.credit:443 ["[tls11 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA]"]
