[+] Started: Tue Aug 25 14:45:01 UTC 2026
[+] Run ID: 32804772782
[+] Batch: batch-0013
[+] URL count: 75
WARNING: sonic/ast only supports (go1.17~1.26 and amd64 CPU) or (go1.20~1.26 and arm64 CPU), but your environment is not suitable and will fallback to encoding/json
[0:00:05] | Templates: 6941 | Hosts: 75 | RPS: 48 | Matched: 0 | Errors: 0 | Requests: 256/1155375 (0%)
[0:00:10] | Templates: 6941 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 38 | Requests: 569/1155375 (0%)
[0:00:15] | Templates: 6941 | Hosts: 75 | RPS: 49 | Matched: 0 | Errors: 48 | Requests: 762/1155375 (0%)
[0:00:20] | Templates: 6941 | Hosts: 75 | RPS: 52 | Matched: 0 | Errors: 50 | Requests: 1065/1155375 (0%)
[0:00:25] | Templates: 6941 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 56 | Requests: 1379/1155375 (0%)
[0:00:30] | Templates: 6941 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 56 | Requests: 1644/1155375 (0%)
[0:00:35] | Templates: 6941 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 56 | Requests: 1925/1155375 (0%)
[0:00:40] | Templates: 6941 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 58 | Requests: 2403/1155375 (0%)
[0:00:45] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 58 | Requests: 2669/1155375 (0%)
[0:00:50] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 70 | Requests: 2936/1155375 (0%)
[0:00:55] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 70 | Requests: 3214/1155375 (0%)
[0:01:00] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 70 | Requests: 3497/1155375 (0%)
[0:01:05] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 70 | Requests: 3790/1155375 (0%)
[0:01:10] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 70 | Requests: 4066/1155375 (0%)
[0:01:15] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 70 | Requests: 4366/1155375 (0%)
[0:01:20] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 70 | Requests: 4646/1155375 (0%)
[0:01:25] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 70 | Requests: 4837/1155375 (0%)
[0:01:30] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 70 | Requests: 5151/1155375 (0%)
