[+] Started: Sun Aug 30 14:54:20 UTC 2026
[+] Run ID: 33313280203
[+] Batch: batch-0006
[+] URL count: 75
WARNING: sonic/ast only supports (go1.17~1.26 and amd64 CPU) or (go1.20~1.26 and arm64 CPU), but your environment is not suitable and will fallback to encoding/json
[0:00:05] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 8 | Requests: 296/1155375 (0%)
[0:00:10] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 8 | Requests: 583/1155375 (0%)
[0:00:15] | Templates: 6941 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 8 | Requests: 837/1155375 (0%)
[0:00:20] | Templates: 6941 | Hosts: 75 | RPS: 53 | Matched: 0 | Errors: 8 | Requests: 1091/1155375 (0%)
[0:00:25] | Templates: 6941 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 8 | Requests: 1372/1155375 (0%)
[0:00:30] | Templates: 6941 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 8 | Requests: 1682/1155375 (0%)
[0:00:35] | Templates: 6941 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 10 | Requests: 2103/1155375 (0%)
[0:00:40] | Templates: 6941 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 12 | Requests: 2397/1155375 (0%)
[0:00:45] | Templates: 6941 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 12 | Requests: 2670/1155375 (0%)
[0:00:50] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 12 | Requests: 2920/1155375 (0%)
[0:00:55] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 12 | Requests: 3189/1155375 (0%)
[0:01:00] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 12 | Requests: 3470/1155375 (0%)
[0:01:05] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 12 | Requests: 3732/1155375 (0%)
[0:01:10] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 12 | Requests: 3995/1155375 (0%)
[0:01:15] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 14 | Requests: 4279/1155375 (0%)
[0:01:20] | Templates: 6941 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 22 | Requests: 4464/1155375 (0%)
