[+] Started: Mon Sep 14 19:21:25 UTC 2026
[+] Run ID: 34820349274
[+] Batch: batch-0001
[+] URL count: 75
WARNING: sonic/ast only supports (go1.17~1.26 and amd64 CPU) or (go1.20~1.26 and arm64 CPU), but your environment is not suitable and will fallback to encoding/json
[0:00:05] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 0 | Requests: 306/1155375 (0%)
[0:00:10] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 12 | Requests: 577/1155375 (0%)
[0:00:15] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 18 | Requests: 861/1155375 (0%)
[0:00:20] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 18 | Requests: 1136/1155375 (0%)
[0:00:25] | Templates: 6941 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 18 | Requests: 1395/1155375 (0%)
[0:00:30] | Templates: 6941 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 22 | Requests: 1841/1155375 (0%)
[0:00:35] | Templates: 6941 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 24 | Requests: 2126/1155375 (0%)
[0:00:40] | Templates: 6941 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 39 | Requests: 2395/1155375 (0%)
[0:00:45] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 57 | Requests: 2662/1155375 (0%)
[0:00:50] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 69 | Requests: 2919/1155375 (0%)
[0:00:55] | Templates: 6941 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 69 | Requests: 3205/1155375 (0%)
[0:01:00] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 69 | Requests: 3477/1155375 (0%)
[0:01:05] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 69 | Requests: 3765/1155375 (0%)
[0:01:10] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 69 | Requests: 4044/1155375 (0%)
[0:01:15] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 69 | Requests: 4289/1155375 (0%)
[0:01:20] | Templates: 6941 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 70 | Requests: 4509/1155375 (0%)
[0:01:25] | Templates: 6941 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 82 | Requests: 4754/1155375 (0%)
[0:01:30] | Templates: 6941 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 90 | Requests: 5174/1155375 (0%)
[0:01:35] | Templates: 6941 | Hosts: 75 | RPS: 59 | Matched: 0 | Errors: 104 | Requests: 5627/1155375 (0%)
[0:01:40] | Templates: 6941 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 104 | Requests: 6071/1155375 (0%)
[0:01:45] | Templates: 6941 | Hosts: 75 | RPS: 61 | Matched: 0 | Errors: 104 | Requests: 6494/1155375 (0%)
[0:01:50] | Templates: 6941 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 104 | Requests: 7013/1155375 (0%)
[0:01:55] | Templates: 6941 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 108 | Requests: 7552/1155375 (0%)
[0:02:00] | Templates: 6941 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 116 | Requests: 7868/1155375 (0%)
[0:02:05] | Templates: 6941 | Hosts: 75 | RPS: 65 | Matched: 0 | Errors: 128 | Requests: 8147/1155375 (0%)
[0:02:10] | Templates: 6941 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 138 | Requests: 8445/1155375 (0%)
[0:02:15] | Templates: 6941 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 146 | Requests: 8717/1155375 (0%)
[0:02:20] | Templates: 6941 | Hosts: 75 | RPS: 64 | Matched: 0 | Errors: 151 | Requests: 9014/1155375 (0%)
[0:02:25] | Templates: 6941 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 151 | Requests: 9283/1155375 (0%)
[0:02:30] | Templates: 6941 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 151 | Requests: 9572/1155375 (0%)
[0:02:35] | Templates: 6941 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 152 | Requests: 9885/1155375 (0%)
[0:02:40] | Templates: 6941 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 152 | Requests: 10143/1155375 (0%)
[0:02:45] | Templates: 6941 | Hosts: 75 | RPS: 63 | Matched: 0 | Errors: 152 | Requests: 10444/1155375 (0%)
[0:02:50] | Templates: 6941 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 152 | Requests: 10703/1155375 (0%)
[0:02:55] | Templates: 6941 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 152 | Requests: 10938/1155375 (0%)
[0:03:00] | Templates: 6941 | Hosts: 75 | RPS: 61 | Matched: 0 | Errors: 152 | Requests: 11073/1155375 (0%)
[0:03:05] | Templates: 6941 | Hosts: 75 | RPS: 61 | Matched: 0 | Errors: 162 | Requests: 11400/1155375 (0%)
[0:03:10] | Templates: 6941 | Hosts: 75 | RPS: 61 | Matched: 0 | Errors: 166 | Requests: 11772/1155375 (1%)
[0:03:15] | Templates: 6941 | Hosts: 75 | RPS: 62 | Matched: 0 | Errors: 174 | Requests: 12119/1155375 (1%)
