[+] Started: Wed Sep 23 10:48:21 UTC 2026
[+] Run ID: 35756420199
[+] Batch: batch-0029
[+] URL count: 69
WARNING: sonic/ast only supports (go1.17~1.26 and amd64 CPU) or (go1.20~1.26 and arm64 CPU), but your environment is not suitable and will fallback to encoding/json
[0:00:05] | Templates: 7036 | Hosts: 69 | RPS: 59 | Matched: 0 | Errors: 0 | Requests: 312/1169481 (0%)
[0:00:10] | Templates: 7036 | Hosts: 69 | RPS: 56 | Matched: 0 | Errors: 0 | Requests: 581/1169481 (0%)
[0:00:15] | Templates: 7036 | Hosts: 69 | RPS: 55 | Matched: 0 | Errors: 0 | Requests: 840/1169481 (0%)
[0:00:20] | Templates: 7036 | Hosts: 69 | RPS: 54 | Matched: 0 | Errors: 8 | Requests: 1097/1169481 (0%)
[0:00:25] | Templates: 7036 | Hosts: 69 | RPS: 54 | Matched: 0 | Errors: 10 | Requests: 1378/1169481 (0%)
[0:00:30] | Templates: 7036 | Hosts: 69 | RPS: 60 | Matched: 0 | Errors: 10 | Requests: 1839/1169481 (0%)
[0:00:35] | Templates: 7036 | Hosts: 69 | RPS: 60 | Matched: 0 | Errors: 10 | Requests: 2121/1169481 (0%)
[0:00:40] | Templates: 7036 | Hosts: 69 | RPS: 58 | Matched: 0 | Errors: 10 | Requests: 2368/1169481 (0%)
[0:00:45] | Templates: 7036 | Hosts: 69 | RPS: 58 | Matched: 0 | Errors: 10 | Requests: 2661/1169481 (0%)
[0:00:50] | Templates: 7036 | Hosts: 69 | RPS: 58 | Matched: 0 | Errors: 12 | Requests: 2932/1169481 (0%)
[0:00:55] | Templates: 7036 | Hosts: 69 | RPS: 57 | Matched: 0 | Errors: 12 | Requests: 3177/1169481 (0%)
[0:01:00] | Templates: 7036 | Hosts: 69 | RPS: 57 | Matched: 0 | Errors: 16 | Requests: 3475/1169481 (0%)
[0:01:05] | Templates: 7036 | Hosts: 69 | RPS: 57 | Matched: 0 | Errors: 18 | Requests: 3756/1169481 (0%)
[0:01:10] | Templates: 7036 | Hosts: 69 | RPS: 56 | Matched: 0 | Errors: 18 | Requests: 4001/1169481 (0%)
[0:01:15] | Templates: 7036 | Hosts: 69 | RPS: 55 | Matched: 0 | Errors: 18 | Requests: 4187/1169481 (0%)
[0:01:20] | Templates: 7036 | Hosts: 69 | RPS: 56 | Matched: 0 | Errors: 18 | Requests: 4516/1169481 (0%)
[0:01:25] | Templates: 7036 | Hosts: 69 | RPS: 58 | Matched: 0 | Errors: 18 | Requests: 4973/1169481 (0%)
[0:01:30] | Templates: 7036 | Hosts: 69 | RPS: 60 | Matched: 0 | Errors: 18 | Requests: 5418/1169481 (0%)
[0:01:35] | Templates: 7036 | Hosts: 69 | RPS: 61 | Matched: 0 | Errors: 18 | Requests: 5827/1169481 (0%)
[0:01:40] | Templates: 7036 | Hosts: 69 | RPS: 62 | Matched: 0 | Errors: 18 | Requests: 6237/1169481 (0%)
[0:01:45] | Templates: 7036 | Hosts: 69 | RPS: 64 | Matched: 0 | Errors: 20 | Requests: 6806/1169481 (0%)
[0:01:50] | Templates: 7036 | Hosts: 69 | RPS: 65 | Matched: 0 | Errors: 20 | Requests: 7251/1169481 (0%)
[0:01:55] | Templates: 7036 | Hosts: 69 | RPS: 65 | Matched: 0 | Errors: 20 | Requests: 7509/1169481 (0%)
[0:02:00] | Templates: 7036 | Hosts: 69 | RPS: 65 | Matched: 0 | Errors: 20 | Requests: 7831/1169481 (0%)
[0:02:05] | Templates: 7036 | Hosts: 69 | RPS: 64 | Matched: 0 | Errors: 20 | Requests: 8118/1169481 (0%)
[0:02:10] | Templates: 7036 | Hosts: 69 | RPS: 64 | Matched: 0 | Errors: 20 | Requests: 8370/1169481 (0%)
[0:02:15] | Templates: 7036 | Hosts: 69 | RPS: 63 | Matched: 0 | Errors: 20 | Requests: 8655/1169481 (0%)
[0:02:20] | Templates: 7036 | Hosts: 69 | RPS: 63 | Matched: 0 | Errors: 26 | Requests: 8969/1169481 (0%)
[0:02:25] | Templates: 7036 | Hosts: 69 | RPS: 63 | Matched: 0 | Errors: 28 | Requests: 9245/1169481 (0%)
[0:02:30] | Templates: 7036 | Hosts: 69 | RPS: 63 | Matched: 0 | Errors: 28 | Requests: 9495/1169481 (0%)
[0:02:35] | Templates: 7036 | Hosts: 69 | RPS: 63 | Matched: 0 | Errors: 28 | Requests: 9782/1169481 (0%)
[0:02:40] | Templates: 7036 | Hosts: 69 | RPS: 62 | Matched: 0 | Errors: 28 | Requests: 9989/1169481 (0%)
[0:02:45] | Templates: 7036 | Hosts: 69 | RPS: 61 | Matched: 0 | Errors: 28 | Requests: 10168/1169481 (0%)
[0:02:50] | Templates: 7036 | Hosts: 69 | RPS: 61 | Matched: 0 | Errors: 28 | Requests: 10543/1169481 (0%)
[0:02:55] | Templates: 7036 | Hosts: 69 | RPS: 61 | Matched: 0 | Errors: 28 | Requests: 10854/1169481 (0%)
[0:03:00] | Templates: 7036 | Hosts: 69 | RPS: 62 | Matched: 0 | Errors: 28 | Requests: 11230/1169481 (0%)
[0:03:05] | Templates: 7036 | Hosts: 69 | RPS: 62 | Matched: 0 | Errors: 28 | Requests: 11581/1169481 (0%)
[0:03:10] | Templates: 7036 | Hosts: 69 | RPS: 62 | Matched: 0 | Errors: 28 | Requests: 11932/1169481 (1%)
[0:03:15] | Templates: 7036 | Hosts: 69 | RPS: 63 | Matched: 0 | Errors: 28 | Requests: 12320/1169481 (1%)
[0:03:20] | Templates: 7036 | Hosts: 69 | RPS: 63 | Matched: 0 | Errors: 28 | Requests: 12647/1169481 (1%)
[0:03:25] | Templates: 7036 | Hosts: 69 | RPS: 62 | Matched: 0 | Errors: 28 | Requests: 12922/1169481 (1%)
[0:03:30] | Templates: 7036 | Hosts: 69 | RPS: 63 | Matched: 0 | Errors: 28 | Requests: 13350/1169481 (1%)
[0:03:35] | Templates: 7036 | Hosts: 69 | RPS: 63 | Matched: 0 | Errors: 28 | Requests: 13774/1169481 (1%)
[0:03:40] | Templates: 7036 | Hosts: 69 | RPS: 64 | Matched: 0 | Errors: 28 | Requests: 14197/1169481 (1%)
[0:03:45] | Templates: 7036 | Hosts: 69 | RPS: 64 | Matched: 0 | Errors: 28 | Requests: 14602/1169481 (1%)
[0:03:50] | Templates: 7036 | Hosts: 69 | RPS: 65 | Matched: 0 | Errors: 28 | Requests: 15015/1169481 (1%)
[0:03:55] | Templates: 7036 | Hosts: 69 | RPS: 65 | Matched: 0 | Errors: 28 | Requests: 15442/1169481 (1%)
[0:04:00] | Templates: 7036 | Hosts: 69 | RPS: 66 | Matched: 0 | Errors: 28 | Requests: 15915/1169481 (1%)
[0:04:05] | Templates: 7036 | Hosts: 69 | RPS: 66 | Matched: 0 | Errors: 28 | Requests: 16307/1169481 (1%)
[0:04:10] | Templates: 7036 | Hosts: 69 | RPS: 66 | Matched: 0 | Errors: 28 | Requests: 16735/1169481 (1%)
[0:04:15] | Templates: 7036 | Hosts: 69 | RPS: 67 | Matched: 0 | Errors: 28 | Requests: 17159/1169481 (1%)
[0:04:20] | Templates: 7036 | Hosts: 69 | RPS: 67 | Matched: 0 | Errors: 28 | Requests: 17603/1169481 (1%)
[0:04:25] | Templates: 7036 | Hosts: 69 | RPS: 68 | Matched: 0 | Errors: 28 | Requests: 18040/1169481 (1%)
[0:04:30] | Templates: 7036 | Hosts: 69 | RPS: 68 | Matched: 0 | Errors: 28 | Requests: 18488/1169481 (1%)
[0:04:35] | Templates: 7036 | Hosts: 69 | RPS: 68 | Matched: 0 | Errors: 28 | Requests: 18909/1169481 (1%)
[0:04:40] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 28 | Requests: 19349/1169481 (1%)
[0:04:45] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 28 | Requests: 19814/1169481 (1%)
[0:04:50] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 28 | Requests: 20251/1169481 (1%)
[0:04:55] | Templates: 7036 | Hosts: 69 | RPS: 70 | Matched: 0 | Errors: 28 | Requests: 20681/1169481 (1%)
[0:05:00] | Templates: 7036 | Hosts: 69 | RPS: 70 | Matched: 0 | Errors: 28 | Requests: 21045/1169481 (1%)
[0:05:05] | Templates: 7036 | Hosts: 69 | RPS: 70 | Matched: 0 | Errors: 28 | Requests: 21399/1169481 (1%)
[0:05:10] | Templates: 7036 | Hosts: 69 | RPS: 70 | Matched: 0 | Errors: 28 | Requests: 21734/1169481 (1%)
[0:05:15] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 28 | Requests: 22060/1169481 (1%)
[0:05:20] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 28 | Requests: 22354/1169481 (1%)
[0:05:25] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 28 | Requests: 22713/1169481 (1%)
[0:05:30] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 28 | Requests: 23020/1169481 (1%)
[0:05:35] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 28 | Requests: 23321/1169481 (1%)
[0:05:40] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 30 | Requests: 23647/1169481 (2%)
[0:05:45] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 30 | Requests: 23988/1169481 (2%)
[0:05:50] | Templates: 7036 | Hosts: 69 | RPS: 69 | Matched: 0 | Errors: 32 | Requests: 24440/1169481 (2%)
[0:05:55] | Templates: 7036 | Hosts: 69 | RPS: 70 | Matched: 0 | Errors: 32 | Requests: 24924/1169481 (2%)
[0:06:00] | Templates: 7036 | Hosts: 69 | RPS: 70 | Matched: 0 | Errors: 32 | Requests: 25356/1169481 (2%)
[0:06:05] | Templates: 7036 | Hosts: 69 | RPS: 70 | Matched: 0 | Errors: 32 | Requests: 25902/1169481 (2%)
[0:06:10] | Templates: 7036 | Hosts: 69 | RPS: 71 | Matched: 0 | Errors: 32 | Requests: 26510/1169481 (2%)
[0:06:15] | Templates: 7036 | Hosts: 69 | RPS: 72 | Matched: 0 | Errors: 32 | Requests: 27081/1169481 (2%)
[0:06:20] | Templates: 7036 | Hosts: 69 | RPS: 73 | Matched: 0 | Errors: 32 | Requests: 27772/1169481 (2%)
[0:06:25] | Templates: 7036 | Hosts: 69 | RPS: 73 | Matched: 0 | Errors: 32 | Requests: 28469/1169481 (2%)
[0:06:30] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 32 | Requests: 29182/1169481 (2%)
[0:06:35] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 32 | Requests: 29865/1169481 (2%)
[0:06:40] | Templates: 7036 | Hosts: 69 | RPS: 76 | Matched: 0 | Errors: 32 | Requests: 30609/1169481 (2%)
[0:06:45] | Templates: 7036 | Hosts: 69 | RPS: 76 | Matched: 0 | Errors: 32 | Requests: 31181/1169481 (2%)
[0:06:50] | Templates: 7036 | Hosts: 69 | RPS: 77 | Matched: 0 | Errors: 32 | Requests: 31617/1169481 (2%)
[0:06:55] | Templates: 7036 | Hosts: 69 | RPS: 77 | Matched: 0 | Errors: 32 | Requests: 32148/1169481 (2%)
[0:07:00] | Templates: 7036 | Hosts: 69 | RPS: 77 | Matched: 0 | Errors: 32 | Requests: 32563/1169481 (2%)
[0:07:05] | Templates: 7036 | Hosts: 69 | RPS: 77 | Matched: 0 | Errors: 34 | Requests: 32897/1169481 (2%)
[0:07:10] | Templates: 7036 | Hosts: 69 | RPS: 77 | Matched: 0 | Errors: 34 | Requests: 33251/1169481 (2%)
[0:07:15] | Templates: 7036 | Hosts: 69 | RPS: 77 | Matched: 0 | Errors: 34 | Requests: 33569/1169481 (2%)
[0:07:20] | Templates: 7036 | Hosts: 69 | RPS: 77 | Matched: 0 | Errors: 38 | Requests: 33935/1169481 (2%)
[0:07:25] | Templates: 7036 | Hosts: 69 | RPS: 76 | Matched: 0 | Errors: 38 | Requests: 34239/1169481 (2%)
[0:07:30] | Templates: 7036 | Hosts: 69 | RPS: 76 | Matched: 0 | Errors: 38 | Requests: 34610/1169481 (2%)
[0:07:35] | Templates: 7036 | Hosts: 69 | RPS: 76 | Matched: 0 | Errors: 38 | Requests: 34956/1169481 (2%)
[0:07:40] | Templates: 7036 | Hosts: 69 | RPS: 76 | Matched: 0 | Errors: 38 | Requests: 35287/1169481 (3%)
[0:07:45] | Templates: 7036 | Hosts: 69 | RPS: 76 | Matched: 0 | Errors: 38 | Requests: 35561/1169481 (3%)
[0:07:50] | Templates: 7036 | Hosts: 69 | RPS: 76 | Matched: 0 | Errors: 38 | Requests: 35888/1169481 (3%)
[0:07:55] | Templates: 7036 | Hosts: 69 | RPS: 76 | Matched: 0 | Errors: 38 | Requests: 36149/1169481 (3%)
[0:08:00] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 38 | Requests: 36449/1169481 (3%)
[0:08:05] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 38 | Requests: 36747/1169481 (3%)
[0:08:10] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 40 | Requests: 37009/1169481 (3%)
[0:08:15] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 40 | Requests: 37272/1169481 (3%)
[0:08:20] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 42 | Requests: 37526/1169481 (3%)
[0:08:25] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 42 | Requests: 37804/1169481 (3%)
[0:08:30] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 42 | Requests: 38073/1169481 (3%)
[0:08:35] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 42 | Requests: 38362/1169481 (3%)
[0:08:40] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 44 | Requests: 38724/1169481 (3%)
[0:08:45] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 46 | Requests: 39135/1169481 (3%)
[0:08:50] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 48 | Requests: 39545/1169481 (3%)
[0:08:55] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 50 | Requests: 40012/1169481 (3%)
[0:09:00] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 50 | Requests: 40481/1169481 (3%)
[0:09:05] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 40945/1169481 (3%)
[0:09:10] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 41357/1169481 (3%)
[0:09:15] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 41744/1169481 (3%)
[0:09:20] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 42146/1169481 (3%)
[0:09:25] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 42473/1169481 (3%)
[0:09:30] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 42790/1169481 (3%)
[0:09:35] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 43183/1169481 (3%)
[0:09:40] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 43608/1169481 (3%)
[0:09:45] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 44010/1169481 (3%)
[0:09:50] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 50 | Requests: 44443/1169481 (3%)
[0:09:55] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 52 | Requests: 44860/1169481 (3%)
[0:10:00] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 52 | Requests: 45322/1169481 (3%)
[0:10:05] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 52 | Requests: 45671/1169481 (3%)
[0:10:10] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 52 | Requests: 45962/1169481 (3%)
[0:10:15] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 52 | Requests: 46271/1169481 (3%)
[0:10:20] | Templates: 7036 | Hosts: 69 | RPS: 75 | Matched: 0 | Errors: 52 | Requests: 46577/1169481 (3%)
[0:10:25] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 52 | Requests: 46880/1169481 (4%)
[0:10:30] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 52 | Requests: 47203/1169481 (4%)
[0:10:35] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 52 | Requests: 47494/1169481 (4%)
[0:10:40] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 54 | Requests: 47808/1169481 (4%)
[0:10:45] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 54 | Requests: 47960/1169481 (4%)
[0:10:50] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 54 | Requests: 48246/1169481 (4%)
[0:10:55] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 54 | Requests: 48582/1169481 (4%)
[0:11:00] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 54 | Requests: 48873/1169481 (4%)
[0:11:05] | Templates: 7036 | Hosts: 69 | RPS: 73 | Matched: 0 | Errors: 54 | Requests: 49199/1169481 (4%)
[0:11:10] | Templates: 7036 | Hosts: 69 | RPS: 73 | Matched: 0 | Errors: 78 | Requests: 49530/1169481 (4%)
[0:11:15] | Templates: 7036 | Hosts: 69 | RPS: 73 | Matched: 0 | Errors: 78 | Requests: 49812/1169481 (4%)
[0:11:20] | Templates: 7036 | Hosts: 69 | RPS: 73 | Matched: 0 | Errors: 78 | Requests: 50085/1169481 (4%)
[0:11:25] | Templates: 7036 | Hosts: 69 | RPS: 73 | Matched: 0 | Errors: 78 | Requests: 50526/1169481 (4%)
[0:11:30] | Templates: 7036 | Hosts: 69 | RPS: 73 | Matched: 0 | Errors: 78 | Requests: 50896/1169481 (4%)
[0:11:35] | Templates: 7036 | Hosts: 69 | RPS: 73 | Matched: 0 | Errors: 90 | Requests: 51395/1169481 (4%)
[0:11:40] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 94 | Requests: 51926/1169481 (4%)
[0:11:45] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 94 | Requests: 52404/1169481 (4%)
[0:11:50] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 96 | Requests: 52801/1169481 (4%)
[0:11:55] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 112 | Requests: 53204/1169481 (4%)
[0:12:00] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 122 | Requests: 53592/1169481 (4%)
[0:12:05] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 122 | Requests: 53916/1169481 (4%)
[0:12:10] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 126 | Requests: 54247/1169481 (4%)
[0:12:15] | Templates: 7036 | Hosts: 69 | RPS: 74 | Matched: 0 | Errors: 126 | Requests: 54673/1169481 (4%)
[0:12:20] | Templates: 7036 | Hosts: 69 | RPS: 77 | Matched: 0 | Errors: 134 | Requests: 57215/1169481 (4%)
[0:12:25] | Templates: 7036 | Hosts: 69 | RPS: 80 | Matched: 0 | Errors: 136 | Requests: 60356/1169481 (5%)
[0:12:30] | Templates: 7036 | Hosts: 69 | RPS: 83 | Matched: 0 | Errors: 140 | Requests: 62842/1169481 (5%)
[0:12:35] | Templates: 7036 | Hosts: 69 | RPS: 86 | Matched: 0 | Errors: 146 | Requests: 65555/1169481 (5%)
[0:12:40] | Templates: 7036 | Hosts: 69 | RPS: 89 | Matched: 0 | Errors: 148 | Requests: 68059/1169481 (5%)
[0:12:45] | Templates: 7036 | Hosts: 69 | RPS: 91 | Matched: 0 | Errors: 170 | Requests: 70319/1169481 (6%)
[0:12:50] | Templates: 7036 | Hosts: 69 | RPS: 91 | Matched: 0 | Errors: 174 | Requests: 70593/1169481 (6%)
[0:12:55] | Templates: 7036 | Hosts: 69 | RPS: 91 | Matched: 0 | Errors: 176 | Requests: 70851/1169481 (6%)
[0:13:00] | Templates: 7036 | Hosts: 69 | RPS: 91 | Matched: 0 | Errors: 184 | Requests: 71138/1169481 (6%)
[0:13:05] | Templates: 7036 | Hosts: 69 | RPS: 90 | Matched: 0 | Errors: 194 | Requests: 71431/1169481 (6%)
[0:13:10] | Templates: 7036 | Hosts: 69 | RPS: 90 | Matched: 0 | Errors: 208 | Requests: 71710/1169481 (6%)
[0:13:15] | Templates: 7036 | Hosts: 69 | RPS: 90 | Matched: 0 | Errors: 212 | Requests: 72050/1169481 (6%)
[0:13:20] | Templates: 7036 | Hosts: 69 | RPS: 90 | Matched: 0 | Errors: 214 | Requests: 72388/1169481 (6%)
[0:13:25] | Templates: 7036 | Hosts: 69 | RPS: 90 | Matched: 0 | Errors: 218 | Requests: 72685/1169481 (6%)
[0:13:30] | Templates: 7036 | Hosts: 69 | RPS: 90 | Matched: 0 | Errors: 242 | Requests: 73043/1169481 (6%)
[0:13:35] | Templates: 7036 | Hosts: 69 | RPS: 89 | Matched: 0 | Errors: 242 | Requests: 73367/1169481 (6%)
