http://server-18.aftermath.finance [307] [/perpetuals/BTC-USDC] [20] [nginx/1.31.6] [57.129.36.239] [190.757532ms] [HSTS,Nginx:1.31.6]
https://academy.hydrex.fi [307] [https://hydrex.fi/] [15] [cloudflare] [172.67.190.62] [cloudflare] [173.825435ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://aftermath.finance [307] [/perpetuals/BTC-USDC] [20] [cloudflare] [172.67.72.75] [cloudflare] [260.753255ms] [Cloudflare,HSTS]
https://aptos.pancakeswap.finance [307] [/swap] [15] [cloudflare] [172.67.75.76] [cloudflare] [108.818217ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://cakepad.pancakeswap.finance [307] [/cakepad] [15] [cloudflare] [104.26.3.169] [cloudflare] [198.71059ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://doc.hyperswap.exchange [307] [https://app.gitbook.com/o/S4DBf7GolZ1LAdeL6V1N/sites/site_y22Tf/] [15] [cloudflare] [104.26.15.183] [cloudflare] [418.086213ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://docs-next.dodoex.io [307] [/en] [15] [cloudflare] [104.26.5.169] [cloudflare] [311.914752ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://docs.biswap.org [307] [https://docs.biswap.org/biswap/] [15] [cloudflare] [172.64.147.209] [cloudflare] [188.978937ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://docs.convexfinance.com [307] [https://docs.convexfinance.com/convexfinance/] [15] [cloudflare] [172.64.147.209] [cloudflare] [600.711946ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://docs.dodoex.io [307] [/en] [15] [cloudflare] [104.26.5.169] [cloudflare] [442.639076ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://docs.kodiak.finance [307] [https://documentation.kodiak.finance/] [15] [cloudflare] [104.18.40.47] [cloudflare] [141.875569ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://docs.moonwell.fi [307] [https://docs.moonwell.fi/moonwell/] [15] [cloudflare] [172.64.147.209] [cloudflare] [215.285746ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://docs.syncswap.xyz [307] [https://docs.syncswap.xyz/syncswap/] [15] [cloudflare] [172.64.147.209] [cloudflare] [279.47829ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://feedback.matcha.xyz [307] [/?cursor=1&order=top&limit=10] [0] [cloudflare] [172.67.68.48] [cloudflare] [171.260225ms] [Cloudflare,HSTS,HTTP/3]
https://hydrex.fi [307] [https://www.hydrex.fi/] [15] [cloudflare] [104.21.19.219] [cloudflare] [304.151423ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://legacy-docs.bebop.xyz [307] [https://legacy-docs.bebop.xyz/bebop/] [15] [cloudflare] [172.66.147.34] [cloudflare] [194.010543ms] [Cloudflare,HSTS,Vercel]
https://options.kodiak.finance [307] [/en] [15] [Vercel] [66.33.60.34] [432.372471ms] [HSTS,Vercel]
https://quest.pancakeswap.finance [307] [/quests] [15] [cloudflare] [104.26.3.169] [cloudflare] [119.686911ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://swap.dodoex.io [307] [https://developer.dodoex.io] [15] [cloudflare] [104.26.5.169] [cloudflare] [2.217089864s] [Cloudflare,HSTS,HTTP/3,Vercel]
https://swapo.hydrex.fi [307] [https://hydrex.fi/] [15] [cloudflare] [172.67.190.62] [cloudflare] [267.922699ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://testnet.aftermath.finance [307] [/perpetuals/BTC-USDC] [20] [cloudflare] [172.67.72.75] [cloudflare] [265.984987ms] [Cloudflare]
https://v2.app.squidrouter.com [307] [https://app.squidrouter.com/] [15] [cloudflare] [104.26.7.7] [cloudflare] [358.908258ms] [Cloudflare,HSTS,HTTP/3,Vercel]
https://www.aftermath.finance [307] [/perpetuals/BTC-USDC] [20] [cloudflare] [104.26.6.96] [cloudflare] [302.073838ms] [Cloudflare,HSTS]
https://www.app.squidrouter.com [307] [https://app.squidrouter.com/] [15] [cloudflare] [104.26.6.7] [cloudflare] [426.161819ms] [Cloudflare,HSTS,HTTP/3,Vercel]
